% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
1.128	1	1	113	9	1	22	2769	22	2769	0
1.128	1	1	113	9	1	22	2769	22	2769	0
1.128	1	1	113	9	1	22	2769	22	2769	0
1.129	1	1	113	10	1	22	2769	22	2769	0
1.129	1	1	113	10	1	22	2769	22	2769	0
1.129	1	1	113	10	1	22	2769	22	2769	0
1.13	1	1	114	1	1	22	2769	22	2769	0
1.13	1	1	114	1	1	22	2769	22	2769	0
1.13	1	1	114	1	1	22	2769	22	2769	0
1.131	1	1	114	2	1	22	2769	22	2769	0
1.131	1	1	114	2	1	22	2769	22	2769	0
1.131	1	1	114	2	1	22	2769	22	2769	0
1.132	1	1	114	3	1	22	2769	22	2769	0
1.132	1	1	114	3	1	22	2769	22	2769	0
1.132	1	1	114	3	1	22	2769	22	2769	0
1.133	1	1	114	4	1	22	2769	22	2769	0
1.133	1	1	114	4	1	22	2769	22	2769	0
1.133	1	1	114	4	1	22	2769	22	2769	0
1.134	1	1	114	5	1	22	2769	22	2769	0
1.134	1	1	114	5	1	22	2769	22	2769	0
1.134	1	1	114	5	1	22	2769	22	2769	0
1.135	1	1	114	6	1	22	2769	22	2769	0
1.135	1	1	114	6	1	22	2769	22	2769	0
1.135	1	1	114	6	1	22	2769	22	2769	0
1.136	1	1	114	7	1	22	2769	22	2769	0
1.136	1	1	114	7	1	22	2769	22	2769	0
1.136	1	1	114	7	1	22	2769	22	2769	0
1.137	1	1	114	8	1	22	2769	22	2769	0
1.137	1	1	114	8	1	22	2769	22	2769	0
1.137	1	1	114	8	1	22	2769	22	2769	0
1.138	1	1	114	9	1	22	2769	22	2769	0
1.138	1	1	114	9	1	22	2769	22	2769	0
1.138	1	1	114	9	1	22	2769	22	2769	0
1.139	1	1	114	10	1	22	2769	22	2769	0
1.139	1	1	114	10	1	22	2769	22	2769	0
1.139	1	1	114	10	1	22	2769	22	2769	0
